Assessment Name,URL,Full Page Content
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Bookkeeping, Accounting, Auditing Clerk Short Form
Description
The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.
Job levels
Entry-Level,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 49
Test Type:
P
S
K
B
A
Remote Testing:
Downloads
Product Fact Sheet
English International
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Branch Manager - Short Form
Description
This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.
Job levels
Front Line Manager, Manager, Supervisor,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 50
Test Type:
A
B
P
Remote Testing:
Downloads
Product Fact Sheet
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Cashier Solution
Description
The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.
Job levels
Entry-Level,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 28
Test Type:
B
A
P
Remote Testing:
Downloads
Fact Sheet Cashier One Sitting_USE
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
2,https://www.shl.com/products/product-catalog/?type=1&start=12&type=2,"Search
Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Find assessments that best meet your needs.
Browse through our extensive product catalog for science-backed assessments that evaluate cognitive ability, personality, behavior, skills, and more, by role and organizational level, by industry, and by language.
Search by keyword...
Keyword
Search
Reset all
Search by choosing one or more...
Job Family
Select...
Job Level
Select...
Industry
Select...
Language
Select...
Search
Reset all
Search by job by title...
Job Category
Select...
Search
Reset all
Pre-packaged Job Solutions
Remote Testing
Adaptive/IRT
Test Type
Claims/Operations Supervisor Solution
P
S
A
B
Contact Center Customer Service + 8.0
A
B
C
P
S
Contact Center Customer Service 8.0
S
B
C
P
Contact Center Manager - Short Form
A
B
P
S
Contact Center Sales & Service + 8.0
P
B
C
A
S
Contact Center Sales & Service 8.0
S
B
C
P
Contact Center Team Lead/Coach - Short Form
A
B
P
S
Contact Centre Agent Solution - UK
A
B
P
S
Customer Service - Short Form
A
B
P
Customer Service - Short Form - UK
A
B
P
Customer Service with Sales - Short Form
A
B
P
Director - Short Form
A
B
P
Previous
1
2
3
…
12
Next
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
3,https://www.shl.com/products/product-catalog/?type=1&start=24&type=2,"Search
Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Find assessments that best meet your needs.
Browse through our extensive product catalog for science-backed assessments that evaluate cognitive ability, personality, behavior, skills, and more, by role and organizational level, by industry, and by language.
Search by keyword...
Keyword
Search
Reset all
Search by choosing one or more...
Job Family
Select...
Job Level
Select...
Industry
Select...
Language
Select...
Search
Reset all
Search by job by title...
Job Category
Select...
Search
Reset all
Pre-packaged Job Solutions
Remote Testing
Adaptive/IRT
Test Type
District/Regional Manager Solution
A
B
P
Entry Level Cashier 7.1 (Americas)
B
P
A
Entry Level Cashier 7.1 (International)
A
B
P
Entry Level Customer Service 7.1 (Americas)
C
P
Entry Level Customer Service 7.1 (International)
C
P
Entry Level Customer Service 7.1 (South Africa)
C
P
Entry level Sales 7.1 (Americas)
B
C
P
Entry level Sales 7.1 (International)
P
B
C
Entry Level Sales Sift Out 7.1
C
P
B
Event Sales Manager Solution
S
A
B
P
Executive - Short Form
A
B
P
Financial Professional - Short Form
A
B
P
Previous
1
2
3
4
…
12
Next
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
12,https://www.shl.com/products/product-catalog/?type=1&start=132&type=2,"Search
Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Find assessments that best meet your needs.
Browse through our extensive product catalog for science-backed assessments that evaluate cognitive ability, personality, behavior, skills, and more, by role and organizational level, by industry, and by language.
Search by keyword...
Keyword
Search
Reset all
Search by choosing one or more...
Job Family
Select...
Job Level
Select...
Industry
Select...
Language
Select...
Search
Reset all
Search by job by title...
Job Category
Select...
Search
Reset all
Pre-packaged Job Solutions
Remote Testing
Adaptive/IRT
Test Type
Teller 7.0
B
K
P
S
Teller with Sales - Short Form
A
B
K
P
S
Transcriptionist Solution
A
B
K
P
Workplace Safety - Individual 7.0 Solution
B
Workplace Safety - Individual 7.1 (Americas)
B
Workplace Safety - Team 7.0 Solution
B
Workplace Safety - Team 7.1 (Americas)
B
C
P
Workplace Safety - Team 7.1 (International)
B
C
P
Workplace Safety Solution
B
P
Previous
1
…
10
11
12
Next
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Next,https://www.shl.com/products/product-catalog/?type=1&start=12&type=2,"Search
Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Find assessments that best meet your needs.
Browse through our extensive product catalog for science-backed assessments that evaluate cognitive ability, personality, behavior, skills, and more, by role and organizational level, by industry, and by language.
Search by keyword...
Keyword
Search
Reset all
Search by choosing one or more...
Job Family
Select...
Job Level
Select...
Industry
Select...
Language
Select...
Search
Reset all
Search by job by title...
Job Category
Select...
Search
Reset all
Pre-packaged Job Solutions
Remote Testing
Adaptive/IRT
Test Type
Claims/Operations Supervisor Solution
P
S
A
B
Contact Center Customer Service + 8.0
A
B
C
P
S
Contact Center Customer Service 8.0
S
B
C
P
Contact Center Manager - Short Form
A
B
P
S
Contact Center Sales & Service + 8.0
P
B
C
A
S
Contact Center Sales & Service 8.0
S
B
C
P
Contact Center Team Lead/Coach - Short Form
A
B
P
S
Contact Centre Agent Solution - UK
A
B
P
S
Customer Service - Short Form
A
B
P
Customer Service - Short Form - UK
A
B
P
Customer Service with Sales - Short Form
A
B
P
Director - Short Form
A
B
P
Previous
1
2
3
…
12
Next
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
Global Skills Development Report
Description
This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.
Job levels
Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,
Test Type:
A
E
B
C
D
P
Remote Testing:
Downloads
Sample Report (Development)
English International
Global Skills Development Report (Reskilling) International English
English International
Sample Report (Development)
English (USA)
Global Skills Development Report (Reskilling) US English
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
.NET Framework 4.5
Description
The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.
Job levels
Professional Individual Contributor, Mid-Professional,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 30
Test Type:
K
Remote Testing:
Downloads
Product Fact Sheet
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"Careers
Contact
Practice Tests
Support





Login
Buy Online

Solutions
Products
HR Priorities
Resources
About
Book a Demo






Home
Products
Product Catalog
.NET MVC (New)
Description
Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.
Job levels
Mid-Professional, Professional Individual Contributor,
Languages
English (USA),
Assessment length
Approximate Completion Time in minutes = 17
Test Type:
K
Remote Testing:
Downloads
Product Fact Sheet
English (USA)
Accelerate Your Talent Strategy
Speak to our team today to see how our products transform talent strategy.
Book a Demo
Back to Product Catalog
Company
About SHL
Solutions
Products
Case Studies
SHL Careers
Global Offices
Media Inquiries
Subscribe
Client Resources
Sales Inquiries
Platform Login
Client Support ↗
Product Catalog
Training Calendar
Buy Online
Candidate Resources
Candidate Support ↗
Raise an Issue ↗
Neurodiversity Hub
Practice Tests
AMCAT ↗
Legal
Cookie Policy
Privacy Notice
Security & Compliance
Legal Resources
UK Modern Slavery
  Site Map
Site Search
© 2026 
SHL and its affiliates. All rights reserved."
